,title,creator,checkouts,materialtype
48900,Earthly delights / Kerry Greenwood.,"Greenwood, Kerry",1,BOOK
48910,Lumitecture : illuminating interiors for designers & architects / Anna Yudina.,"Yudina, Anna",1,BOOK
48911,The art of mistakes : unexpected painting techniques & the practice of creative thinking / Melanie Rothschild.,"Rothschild, Melanie",1,BOOK
48917,Periodic table : the definitive visual catalog of the building blocks of the universe / by Sean Callery and Miranda Smith.,"Callery, Sean",1,BOOK
48837,Losing you / Nicci French.,"French, Nicci",1,BOOK
48836,My father the dog / Elizabeth Bluemle ; illustrated by Randy Cecil.,"Bluemle, Elizabeth",1,BOOK
48829,When elephants weep : the emotional lives of animals / Jeffrey Moussaieff Masson and Susan McCarthy.,"Masson, J. Moussaieff (Jeffrey Moussaieff), 1941-",1,BOOK
48821,Twelve / Lauren Myracle.,"Myracle, Lauren, 1969-",1,BOOK
48721,Into the mist / Maya Banks.,"Banks, Maya",1,BOOK
48723,"Claymore. Vol. 1., Silver-eyed slayer / story and art by Norihiro Yagi.","Yagi, Norihiro",1,BOOK
48727,"Revival. Volume 7, Forward / [story by Tim Seeley ; art by Mike Norton ; colors by Mark Englert ; letters by Crank! ; chapter art by Jenny Frison ; edited by 4 Star Studios ; design by Sean Dove].","Seeley, Tim",1,BOOK
48731,"Ecuador, a country study / Federal Research Division, Library of Congress ; edited by Dennis M. Hanratty.",,1,BOOK
48736,The smartest kids in the world : and how they got that way / Amanda Ripley.,"Ripley, Amanda",1,BOOK
48743,"Batman : the silver age newspaper comics. Volume one, 1966-1967 / [stories by Whitney Ellsworth ; art by Sheldon Moldoff, Carmine Infantino, and Joe Giella ; lettering by Ben Oda and Milt Snapinn].","Ellsworth, Whitney, 1908-1980,",1,BOOK
48756,The cats of Copenhagen / James Joyce.,"Joyce, James, 1882-1941",1,BOOK
48768,Under locker and key / Allison K. Hymas.,"Hymas, Allison K.",1,BOOK
48772,The sculpture of Ruth Asawa : contours in the air / Daniell Cornell ... [and others].,,1,BOOK
48776,Grandpa and me on Tu B'Shevat / Marji E. Gold-Vukson ; illustrations by Leslie Evans.,"Gold-Vukson, Marji",1,BOOK
48779,"I, Parrot / Deb Olin Unferth & Elizabeth Haidle.","Unferth, Deb Olin",1,BOOK
48786,Etruscan art / Otto J. Brendel.,"Brendel, Otto, 1901-1973",1,BOOK
48791,Watergate : a novel / Thomas Mallon.,"Mallon, Thomas, 1951-",1,BOOK
48794,The Soviet Union : a very short introduction / Stephen Lovell.,"Lovell, Stephen, 1972-",1,BOOK
48800,A Sanskrit grammar for students / by Arthur A. Macdonell.,"Macdonell, Arthur Anthony, 1854-1930",1,BOOK
48809,Your rights in the workplace / by Barbara Kate Repa.,"Repa, Barbara Kate",1,BOOK
48810,Titus Andronicus / by William Shakespeare ; edited by Barbara A. Mowat and Paul Werstine.,"Shakespeare, William, 1564-1616,",1,BOOK
48813,"Women know everything! : 3,241 quips, quotes, & brilliant remarks / [compiled] by Karen Weekes.",,1,BOOK
48819,Affirmative action around the world : an empirical study / Thomas Sowell.,"Sowell, Thomas, 1930-",1,BOOK
48922,Miss Julia weathers the storm / Ann B. Ross.,"Ross, Ann B.",1,BOOK
48927,"The South Beach diet : the delicious, doctor-designed, foolproof plan for fast and healthy weight loss / Arthur Agatston.","Agatston, Arthur",1,BOOK
48929,"National Audubon Society field guide to fishes. North America / saltwater fishes Carter R. Gilbert, freshwater fishes James D. Williams.","Gilbert, Carter Rowell, 1930-",1,BOOK
49058,Silk painting / Susie Stokoe ; photography by Tim Imrie.,"Stokoe, Susie",1,BOOK
49063,Medical apartheid : the dark history of medical experimentation on Black Americans from colonial times to the present / Harriet A. Washington.,"Washington, Harriet A.",1,BOOK
49064,"The 20% doctrine : how tinkering, goofing off, and breaking the rules at work drive success in business / Ryan Tate.","Tate, Ryan",1,BOOK
49065,Orangutan : in danger of extinction / David Orme.,"Orme, David.",1,BOOK
49070,Billie Holiday : singer / Rebecca Carey Rohan.,"Rohan, Rebecca Carey, 1967-",1,BOOK
49076,Kings & queens of England : from the Saxon kings to the House of Windsor / Nigel Cawthorne.,"Cawthorne, Nigel, 1951-",1,BOOK
49087,Pygmy / Chuck Palahniuk.,"Palahniuk, Chuck",1,BOOK
49088,"The big, fun, sexy sex book / Lisa Rinna & Ian Kerner.","Rinna, Lisa",1,BOOK
49092,"Inside the room : writing TV with the pros at UCLA Extension Writers' Program / edited by Linda Venis, Director, UCLA Extension Department of the Arts and Writers' Program.",,1,BOOK
49093,White space / Ilsa J. Bick.,"Bick, Ilsa J.",1,BOOK
49100,Working windows : a guide to the repair and restoration of wood windows / Terence Meany.,"Meany, Terry",1,BOOK
49109,"Prefab green / Michelle Kaufmann, Catherine Remick.","Kaufmann, Michelle",1,BOOK
49110,Cat in a hot pink pursuit / Carole Nelson Douglas.,"Douglas, Carole Nelson",1,BOOK
49115,"Alice Waters & Chez Panisse : the romantic, impractical, often eccentric, ultimately brilliant making of a food revolution / Thomas McNamee ; foreword by R.W. Apple, Jr.","McNamee, Thomas, 1947-",1,BOOK
49118,The enjoyment of mathematics : selections from Mathematics for the amateur / Hans Rademacher and Otto Toeplitz ; translated by Herbert Zuckerman.,"Rademacher, Hans, 1892-1969",1,BOOK
49123,Tsubasa omnibus. 1 / CLAMP ; translator: Anthony Gerard & William Flanagan ; lettering: Dana Hayward.,CLAMP (Mangaka group),1,BOOK
49128,The one-eyed man / Ron Currie.,"Currie, Ron, 1975-",1,BOOK
49134,"Tangmu ye ye / wen/tu, [Jieke] Shitifan Chawu'er ; yi, Shi Suqing.","Zavřel, Štěpán",1,BOOK
49140,The eternity elixir / Frank L. Cole.,"Cole, Frank, 1977-",1,BOOK
49143,The Daniel dilemma : how to stand firm and love well in a culture of compromise / Chris Hodges.,"Hodges, Chris",1,BOOK
49062,Velocity / Chris Wooding.,"Wooding, Chris, 1977-",1,BOOK
49049,By the pricking of my thumbs / Agatha Christie.,"Christie, Agatha, 1890-1976",1,BOOK
48942,A woman scorned / James Heneghan.,"Heneghan, James, 1930-",1,BOOK
49047,The pressured cook : over 75 one-pot meals in minutes made in today's 100% safe pressure cookers / Lorna Sass.,"Sass, Lorna J.",1,BOOK
48943,La revolución de los 22 días : el recetario / Marco Borges ; traducción de Benjamín de Buen.,"Borges, Marco",1,BOOK
48947,Complicated grief / Laura Mullen.,"Mullen, Laura, 1958-",1,BOOK
48968,The myths of innovation / Scott Berkun.,"Berkun, Scott",1,BOOK
48974,Hangman's root : a China Bayles mystery / Susan Wittig Albert.,"Albert, Susan Wittig",1,BOOK
48975,The bachelors of Broken Hill / Arthur W. Upfield ; with a new introduction by Edward Marston.,"Upfield, Arthur W. (Arthur William), 1888-1964",1,BOOK
48977,The lost vampire / Kate Baxter.,"Baxter, Kate (Paranormal fiction writer)",1,BOOK
48986,"How to raise and keep a dragon / by John Topsell ; executive editor, Joseph Nigg ; illustrations, Dan Malone.","Topsell, John",1,BOOK
48993,Motive / Jonathan Kellerman.,"Kellerman, Jonathan",1,BOOK
48994,The wine-dark sea / Patrick O'Brian.,"O'Brian, Patrick, 1914-2000",1,BOOK
48996,On extinction : how we became estranged from nature / Melanie Challenger.,"Challenger, Melanie",1,BOOK
48998,The house of binding thorns : a Dominion of the Fallen novel / Aliette de Bodard.,"Bodard, Aliette de",1,BOOK
49001,Italian home cooking : 125 recipes to comfort your soul / Julia della Croce ; photographs by Christopher Hersheimer.,"Della Croce, Julia",1,BOOK
49015,The lord of the rings : the two towers : visual companion / Jude Fisher.,"Fisher, Jude",1,BOOK
49016,Kenny & the dragon / written and illustrated byTony DiTerlizzi.,"DiTerlizzi, Tony",1,BOOK
49017,"Aim true : love your body, eat without fear, nourish your spirit, discover true balance! / Kathryn Budig.","Budig, Kathryn",1,BOOK
49021,If I stay / Gayle Forman.,"Forman, Gayle",1,BOOK
49031,Dance of the animals; a Puerto Rican folk tale. / Paul Galdone drew the pictures.,"Belpré, Pura",1,BOOK
49037,The gentleman from Japan / James Church.,"Church, James, 1947-",1,BOOK
49039,How to rap 2 : advanced flow & delivery techniques / Paul Edwards ; [foreword by Gift of Gab of Blackalicious].,"Edwards, Paul, 1982-",1,BOOK
48718,The ultimate top secret guide to taking over the world / by Kenn Nesbitt ; illustrations by Ethan Long.,"Nesbitt, Kenn",1,BOOK
48717,The 5th horseman / a novel by James Patterson and Maxine Paetro.,"Patterson, James, 1947-",1,BOOK
48716,Tools of Native Americans : a kid's guide to the history & culture of the First Americans / Kim Kavin.,"Kavin, Kim",1,BOOK
48393,"Talkers, watchers, and doers : unlocking your child's unique learning style / Cheri Fuller.","Fuller, Cheri",1,BOOK
48398,"Murder ballads / by Gabe Soria, Paul Reinwand & Chris Hunt.","Soria, Gabriel",1,BOOK
48403,The dragon's path / Daniel Abraham.,"Abraham, Daniel",1,BOOK
48405,"Kat, incorrigible / Stephanie Burgis.","Burgis, Stephanie",1,BOOK
48406,The advocate's daughter / Anthony Franze.,"Franze, Anthony J.",1,BOOK
48410,Kono ato dōshichaō / Yoshitake Shinsuke.,"Yoshitake, Shinsuke, 1973-",1,BOOK
48412,The visionary state : a journey through California's spiritual landscape / by Erik Davis ; photographs by Michael Rauner.,"Davis, Erik",1,BOOK
48414,My cool caravan : an inspirational guide to retro-style caravans / Jane Field-Lewis + Chris Haddon ; photography by Hilary Walker.,"Field-Lewis, Jane",1,BOOK
48416,Storm at daybreak / B.J. Hoff.,"Hoff, B. J., 1940-",1,BOOK
48449,Origami in the classroom / by Chiyo Araki.,"Araki, Chiyo",1,BOOK
48455,"Conversations with God : an uncommon dialogue : living in the world with honesty, courage, and love / Neale Donald Walsch.","Walsch, Neale Donald",1,BOOK
48456,"Obentō basu / saku/e, Shinju Mariko.","Shinju, Mariko",1,BOOK
48463,The legendary lord / Valerie Bowman.,"Bowman, Valerie",1,BOOK
48471,Grand endeavors of American Indian photography / Paula Richardson Fleming and Judith Lynn Luskey.,"Fleming, Paula Richardson",1,BOOK
48472,100 things Mariners fans should know & do before they die / Michael Emmerich.,"Emmerich, Michael, 1959-",1,BOOK
48475,Life without lawyers : liberating Americans from too much law / Philip K. Howard.,"Howard, Philip K.",1,BOOK
48483,Purgatori. Volume 1 / written by Aaron Gillespie ; art by Javier García-Miranda ; colors by Viviane Souza ; letters by Marshall Dillon.,"Gillespie, Aaron (Comic book writer)",1,BOOK
48496,"Haikyu!! 11, Above / [story and art by] Haruichi Furudate ; [translation, Adrienne Beck ; touch-up art & lettering, Erika Terriquez].","Furudate, Haruichi, 1983-",1,BOOK
48497,The merchant of Venice / edited by Jay L. Halio.,"Shakespeare, William, 1564-1616",1,BOOK
48501,"Ethnopolitical warfare : causes, consequences, and possible solutions / edited by Daniel Chirot and Martin E.P. Seligman.",,1,BOOK
48395,Cinco moscas azules / Carmen Posadas.,"Posadas, Carmen, 1953-",1,BOOK
48384,Lady killer / Lisa Scottoline.,"Scottoline, Lisa",1,BOOK
48511,What the drug companies won't tell you and your doctor doesn't know : the alternative treatments that may change your life-- and the prescriptions that could harm you / Michael T. Murray.,"Murray, Michael T.",1,BOOK
48383,"Amber : jewelry, art & science / Nancy P.S. Hopp.","Hopp, Nancy P. S.",1,BOOK
48255,Out of sight / Robert Rayner.,"Rayner, Robert, 1946-",1,BOOK
48259,The wolves of midwinter : the wolf gift chronicles / Anne Rice.,"Rice, Anne, 1941-",1,BOOK
48261,"Shadowland. Thunderbolts / [writer, Jeff Parker ; artists, Declan Shalvey & Kev Walker ; color artists, Frank Martin with Fabio D'Auria ; letterer, Comicraft's Albert Deschesne].",,1,BOOK
48269,Death's summer coat : what the history of death and dying can tell us about life and living / Brandy Schillace.,"Schillace, Brandy",1,BOOK
48283,Life without a recipe : a memoir / Diana Abu-Jaber.,"Abu-Jaber, Diana",1,BOOK
48299,Ashanti to Zulu : African traditions / Margaret Musgrove ; pictures by Leo and Diane Dillon.,"Musgrove, Margaret",1,BOOK
48306,Shalom Sistas : living wholeheartedly in a brokenhearted world / Osheta Moore ; foreword by Sarah Bessey.,"Moore, Osheta",1,BOOK
48308,"My only comfort : death, deliverance, and discipleship in the music of Bach / Calvin R. Stapert.","Stapert, Calvin, 1942-",1,BOOK
48310,Duty to the crown / Aimie K. Runyan.,"Runyan, Aimie K.",1,BOOK
48316,The Casablanca man : the cinema of Michael Curtiz / James C. Robertson.,"Robertson, James C. (James Crighton), 1930-",1,BOOK
48320,The princess curse / Merrie Haskell.,"Haskell, Merrie",1,BOOK
48330,The lost girl of Astor Street / Stephanie Morrill.,"Morrill, Stephanie",1,BOOK
48335,Light and film / by the editors of Time-Life Books.,,1,BOOK
48337,Bitter River / Julia Keller.,"Keller, Julia",1,BOOK
48347,Agatha Raisin and the wizard of Evesham / M.C. Beaton.,"Beaton, M. C.",1,BOOK
48356,Moonkind / Sarah Prineas.,"Prineas, Sarah",1,BOOK
48364,Cuando me siento bien conmigo mismo / texto: Cornelia Maude Spelman ; ilustraciones: Kathy Parkinson ; traducción: Joana Delgado.,"Spelman, Cornelia",1,BOOK
48365,"Drawing & painting fantasy landscapes & cityscapes : create your own mythical cities, planets, and lost worlds / Rob Alexander ; with a contribution from Martin McKenna.","Alexander, Rob (Illustrator)",1,BOOK
48368,End of days / Susan Ee.,"Ee, Susan",1,BOOK
48502,A history of ancient Britain / Neil Oliver.,"Oliver, Neil, 1967-",1,BOOK
48512,"Gin Tama. Vol. 19, A schemer caught in his own scheme / story & art by Hideaki Sorachi ; [translation, Kyoko Shapiro ; English adaptation, Lance Caselman ; touch-up art & lettering, Avril Averill].","Sorachi, Hideaki",1,BOOK
48712,Walking in Ireland : 50 walks through the heart and soul of Ireland / Christopher Somerville.,"Somerville, Christopher",1,BOOK
48624,The red line / Walt Gragg.,"Gragg, Walt",1,BOOK
48634,"Pigs aplenty, pigs galore! / David McPhail.","McPhail, David, 1940-",1,BOOK
48643,Desire : where sex meets addiction / Susan Cheever.,"Cheever, Susan",1,BOOK
48648,Elements of etiquette : a guide to table manners in an imperfect world / Craig Claiborne.,"Claiborne, Craig",1,BOOK
48649,Fool me twice : fighting the assault on science in America / Shawn Lawrence Otto.,"Otto, Shawn Lawrence",1,BOOK
48651,Marriage : from surviving to thriving : practical advice on making your marriage strong / Charles R. Swindoll.,"Swindoll, Charles R.",1,BOOK
48655,"Dordogne, Bordeaux & the Southwest coast / [project editor, Améile Baghdiguian ; main contributors, Suzanne Boireau-Tartarat ... [and others]].",,1,BOOK
48656,"Jason and the Argonauts / author, Neil Smith ; illustrator, José Daniel Cabrera Peña.","Smith, Neil (Historian)",1,BOOK
48660,The improbability of love / Hannah Rothschild.,"Rothschild, Hannah, 1962-",1,BOOK
48665,Joan Miró : the ladder of escape / edited by Marko Daniel and Matthew Gale ; with contributions by Christopher Green ... [and others].,"Miró, Joan, 1893-1983",1,BOOK
48668,Little-known museums in and around Paris / Rachel Kaplan.,"Kaplan, Rachel",1,BOOK
48669,Raw / Charlie Trotter & Roxanne Klein ; photography by Tim Turner ; wine notes by Jason Smith.,"Trotter, Charlie",1,BOOK
48670,Ralph Masiello's ocean drawing book / [by Ralph Masiello].,"Masiello, Ralph",1,BOOK
48682,"The rough guide to the Greek islands / written and researched by Nick Edwards, ... [and others]",,1,BOOK
48685,Song of Kali / Dan Simmons.,"Simmons, Dan, 1948-",1,BOOK
48688,Seraph of the end. Vampire reign. 10 / story by Takaya Kagami ; art by Yamato Yamamoto ; storyboards by Daisuke Furuya.,"Kagami, Takaya, 1979-",1,BOOK
48697,On Kiki's reef / by Carol L. Malnor ; illustrated by Trina L. Hunner.,"Malnor, Carol",1,BOOK
48699,"Searching for meaning : idealism, bright minds, disillusionment, and hope / James T. Webb, Ph.D.","Webb, James T.",1,BOOK
48706,Stubborn fat gone! : discover Think Fit to turn off stress and lose 1.5 lbs. every day / Jorge Cruise.,"Cruise, Jorge",1,BOOK
48711,"Nisekoi = False love. Vol. 16, Look-Alike / story and art by Naoshi Komi ; [translation, Camellia Nieh ; touch-up art & lettering, Stephen Dutro].","Komi, Naoshi, 1986-",1,BOOK
48625,A darker shade of Sweden : original stories by Sweden's greatest crime writers / edited and translated by John-Henri Holmberg.,,1,BOOK
48621,The ghosts of birds / Eliot Weinberger.,"Weinberger, Eliot",1,BOOK
48522,Side by side : the story of Dolores Huerta and Cesar Chavez = Lado a lado : la historia de Dolores Huerta y César Chávez / by Monica Brown ; illustrated by Joe Cepeda ; translated by Carolina Valencia.,"Brown, Monica, 1969-",1,BOOK
48615,Stone spring / Stephen Baxter.,"Baxter, Stephen",1,BOOK
48526,"Modern flax, hemp, and jute spinning and twisting; a practical handbook for the use of flax, hemp, and jute spinners, thread, twine, and rope makers.","Carter, H. R. (Herbert R.)",1,BOOK
48529,Low pressure / Sandra Brown.,"Brown, Sandra, 1948-",1,BOOK
48532,Bohemia in history / edited by Mikuláš Teich.,,1,BOOK
48533,Everybody's Russian reader / foreword by Arthur Prudden Coleman.,"Fastenberg, Rashelle.",1,BOOK
48535,"A butterfly journey : Maria Sibylla Merian, artist and scientist / Boris Friedewald ; [translations from the German, Stephan von Pohl].","Friedewald, Boris",1,BOOK
48537,Provence / Lawrence Durrell.,"Durrell, Lawrence",1,BOOK
48554,A Cedar Cove Christmas / Debbie Macomber.,"Macomber, Debbie",1,BOOK
48559,Strike of the mountain man / William W. Johnstone with J.A. Johnstone.,"Johnstone, William W.",1,BOOK
48562,A little dust on the eyes / Minoli Salgado.,"Salgado, Minoli",1,BOOK
48563,"The Swedish Christmas table : traditional holiday meals, side dishes, candies, and drinks / Jens Linder and Johanna Westman ; translated by River Khan ; photography by Ulrike Pousette ; collages by Pia Koskela.","Linder, Jens",1,BOOK
48573,"Palm Springs weekend : the architecture and design of a mid-century oasis / Alan Hess, Andrew Danish.","Hess, Alan",1,BOOK
48574,Go-go gorillas / Julia Durango ; illustrated by Eleanor Taylor.,"Durango, Julia, 1967-",1,BOOK
48578,In the garden / Stacy Bass ; with essays by Suzanne Gannon.,"Bass, Stacy",1,BOOK
48584,The story of the Little Rock Nine and school desegregation in photographs / David Aretha.,"Aretha, David",1,BOOK
48588,Painted devils : strange stories / Robert Aickman.,"Aickman, Robert",1,BOOK
48589,The Nashville chronicles : the making of Robert Altman's masterpiece / Jan Stuart.,"Stuart, Jan, 1954 April 7-",1,BOOK
48595,Hell or high water / Julie Ann Walker.,"Walker, Julie Ann",1,BOOK
48602,The flying oyster : the collected comic apocalypses of Nelson Bentley.,"Bentley, Nelson",1,BOOK
48607,Eat : the little book of fast food / Nigel Slater ; photographs by Jonathan Lovekin.,"Slater, Nigel",1,BOOK
49148,The silence of the spirits / Wilfried N'Sondé ; translated by Karen Lindo.,"N'Sondé, Wilfried",1,BOOK
49157,The manny : (man-ee) n: 1. a nanny of the male persuasion / Holly Peterson.,"Peterson, Holly",1,BOOK
49160,"Master paintings from the Hermitage and the State Russian Museum, Leningrad : [exhibition] National Gallery of Art, Washington, D.C., M. Knoedler & Co., inc., New York, N.Y., the Detroit Institute of Arts, Detroit, Michigan, Los Angeles County Museum of Art, Los Angeles, California, the Museum of Fine Arts, Houston, Texas, 1975-1976 / [edited by John Richardson and Eric Zafran].",,1,BOOK
49681,Chronicles / Bob Dylan.,"Dylan, Bob, 1941-",1,BOOK
49689,"Group f.64 : Edward Weston, Ansel Adams, Imogen Cunningham, and the community of artists who revolutionized American photography / Mary Street Alinder.","Alinder, Mary Street, 1946-",1,BOOK
49691,Rebel queen : a novel / Michelle Moran.,"Moran, Michelle",1,BOOK
49693,Southeast Asia.,,1,BOOK
49696,"Essential Peter Parker, the spectacular Spider-Man. Vol. 1 / [collections editor, Jeff Youngquist].","Jenkins, Paul, 1965-",1,BOOK
49698,Meet the dogs of Bedlam Farm / Jon Katz.,"Katz, Jon",1,BOOK
49699,Textiles of the Middle East and Central Asia : the fabric of life / Fahmida Suleman.,"Suleman, Fahmida",1,BOOK
49711,The WPA guide to 1930s Kansas / compiled and written by the Federal Writers' Project of the Work Projects Administration for the State of Kansas ; with a new introduction by James R. Shortridge.,,1,BOOK
49712,"Fantastic Four. Vol. 1, New departure, new arrivals / writer: Matt Fraction ; Fantastic Four #1-3: penciler, Mark Bagley ; inker, Mark Farmer with Mark Morales (#2) ; colorist, Paul Mounts with Wil Quintana (#2) ; cover artists, Mark Bagley, Mark Farmer & Paul Mounts. FF #1-3 and material from Marvel Now! Point one #1: artist, Michael Allred ; color artist, Laura Allred ; cover artists, Michael & Laura Allred. ; lettere, VC's Clayton Cowles ; assistant editor, Jake Thomas ; editors, Tom Brevoort with Lauren Sankovitch.","Fraction, Matt",1,BOOK
49714,Perva︠i︡a sterva Rossii : moi universitety / Irina Saltykova.,"Saltykova, Irina",1,BOOK
49735,The dog who thought he was Santa / Bill Wallace.,"Wallace, Bill, 1947-2012",1,BOOK
49739,Kak khochets︠i︡a schastʹ︠i︡a! : sbornik / Irina Stepanovska︠i︡a.,"Stepanovska︠i︡a, Irina",1,BOOK
49744,Your yarn dyeing; a book for handweavers and spinners / Elsie G. Davenport.,"Davenport, Elsie G.",1,BOOK
49751,Escape from the deep : the epic story of a legendary submarine and her courageous crew / Alex Kershaw.,"Kershaw, Alex",1,BOOK
49754,Waterside modern / Dominic Bradbury ; photographs by Richard Powers.,"Bradbury, Dominic",1,BOOK
49761,Creativity : the psychology of discovery and invention / Mihaly Csikszentmihalyi.,"Csikszentmihalyi, Mihaly",1,BOOK
49765,The country of women : poetry / by Sandra Kohler.,"Kohler, Sandra, 1940-",1,BOOK
49774,How the wise men got to Chelm : the life and times of a Yiddish folk tradition / Ruth von Bernuth.,"Bernuth, Ruth von",1,BOOK
49779,Jupiter / Barbra Penne.,"Penne, Barbra",1,BOOK
49785,Clara Lee and the apple pie dream / Jenny Han ; with pictures by Julia Kuo.,"Han, Jenny",1,BOOK
49686,Way down deep in the deep blue sea / by Jan Peck ; illustrated by Valeria Petrone.,"Peck, Jan",1,BOOK
49670,The only street in Paris : life on the Rue des Martyrs / Elaine Sciolino.,"Sciolino, Elaine",1,BOOK
49792,Every last word / Tamara Ireland Stone.,"Stone, Tamara Ireland",1,BOOK
49659,Selected writings / Walter Benjamin ; edited by Marcus Bullock and Michael W. Jennings.,"Benjamin, Walter, 1892-1940",1,BOOK
49571,The uglified ducky / by Maynard Moose as told to Willy Claflin ; illustrated by James Stinson.,"Claflin, Willy, 1944-",1,BOOK
49572,The liar's key / Mark Lawrence.,"Lawrence, Mark, 1966-",1,BOOK
49575,"Thief of thieves. [Volume 3, ""Venice""] / Robert Kirkman, James Asmus, Andy Diggle, story ; Andy Diggle, writer ; Shawn Martinbrough, artist ; Felix Serrano, colorist ; Rus Wooton, letterer].","Kirkman, Robert",1,BOOK
49585,Amateur at the keyboard : a practice and study guide for nonprofessional pianists / by James Higson.,"Higson, James, 1925-",1,BOOK
49589,"Hillbilly nationalists, urban race rebels, and black power : community organizing in radical times / Amy Sonnie and James Tracy ; with a foreword by Roxanne Dunbar-Ortiz.","Sonnie, Amy",1,BOOK
49593,Fancy Nancy : too many tutus / by Jane O'Connor ; cover illustration by Robin Preiss Glasser ; interior illustrations by Ted Enik.,"O'Connor, Jane",1,BOOK
49595,"He came to set the captives free / by Rebecca Brown, MD.","Brown, Rebecca, M.D.",1,BOOK
49596,Debt-free forever : take control of your money and your life / Gail Vaz-Oxlade.,"Vaz-Oxlade, Gail",1,BOOK
49598,The Chatham school affair / Thomas H. Cook.,"Cook, Thomas H.",1,BOOK
49602,The slave trade of Eastern Africa / R.W. Beachey.,"Beachey, R. W.",1,BOOK
49604,"Ancient China / Brian Williams ; [illustrators, James Field ... and others].","Williams, Brian, 1943-",1,BOOK
49609,Albert keeps score / by Daphne Skinner ; illustrated by Deborah Melmon.,"Skinner, Daphne",1,BOOK
49612,"The god particle : if the universe is the answer, what is the question? / Leon Lederman ; with Dick Teresi.","Lederman, Leon M.",1,BOOK
49614,Kauai underground guide / Lenore & Mirah Horowitz.,"Horowitz, Lenore W.",1,BOOK
49633,"Muffin tin chef : 101 savory snacks, adorable appetizers, enticing entrees & delicious desserts / Matt Kadey.","Kadey, Matt",1,BOOK
49638,The plant lover's guide to clematis / Linda Beutler.,"Beutler, Linda",1,BOOK
49647,Music theory / by Tom Kolb.,"Kolb, Tom",1,BOOK
49650,"Signing at school / by S. Harold Collins ; illustrated by Kathy Kifer, Mark Smith and Dahna Solar.","Collins, S. Harold (Stanley Harold)",1,BOOK
49656,The vintage home : clever finds and faded treasures for today's chic living / Judith Wilson.,"Wilson, Judith, 1962-",1,BOOK
49788,The great shift : encountering God in biblical times / James L Kugel.,"Kugel, James L.",1,BOOK
49797,"Huang hou ai chu zhao / Tong Shan, zhu.","Tong, Shan.",1,BOOK
49549,Enchanting Penang / David Bowden.,"Bowden, David, 1952-",1,BOOK
49889,David Hockney photographs.,"Hockney, David",1,BOOK
49893,Bluegrass banjo for dummies / by Bill Evans.,"Evans, Bill, 1956-",1,BOOK
49894,"Trigger point therapy with the foam roller : self-treatment exercises for muscle massage, myofascial release, injury prevention and physical rehab / Dr. Karl Knopf & Chris Knopf","Knopf, Karl G.",1,BOOK
49895,Mount Rainier's Wonderland trail : everything you need to know to successfully hikeall the way around this great mountain / Douglas Lorain.,"Lorain, Douglas, 1962-",1,BOOK
49897,"West of the West : dreamers, believers, builders, and killers in the Golden State / Mark Arax.","Arax, Mark, 1956-",1,BOOK
49900,The Nazi conscience / Claudia Koonz.,"Koonz, Claudia",1,BOOK
49908,Pass it on : five stories that can change the world / Joanna Macy and Norbert Gahbler.,"Macy, Joanna, 1929-",1,BOOK
49909,The poetry of solitude : a tribute to Edward Hopper / poems collected and introduced by Gail Levin.,,1,BOOK
49912,Jephta and his daughter. / Translated by Eithne Wilkins and Ernst Kaiser.,"Feuchtwanger, Lion, 1884-1958",1,BOOK
49923,Get hired in a tough market : insider secrets to find and land the job you need now / Alan De Back.,"De Back, Alan",1,BOOK
49929,"Refinery29 : style stalking / Christene Barberich, Piera Gelardi.","Barberich, Christene",1,BOOK
49950,In defense of hypocrisy : picking sides in the war on virtue / Jeremy Lott.,"Lott, Jeremy",1,BOOK
49958,Contagious : a novel / Scott Sigler.,"Sigler, Scott",1,BOOK
49959,"Nothing like it in the world : the men who built the transcontinental railroad, 1863-1869 / Stephen E. Ambrose.","Ambrose, Stephen E.",1,BOOK
49966,One day of life / Manlio Argueta ; translated from the Spanish by Bill Brow.,"Argueta, Manlio, 1935-",1,BOOK
49973,Where you'll find me / Natasha Friend.,"Friend, Natasha, 1972-",1,BOOK
49983,"Social-economic movements; an historical and comparative survey of socialism, communism, co-operation, utopeanism;and other systems of reform and reconstruction / Harry W. Laidler.","Laidler, Harry W. (Harry Wellington), 1884-1970",1,BOOK
49986,American archaeology uncovers the earliest English colonies / Lois Miner Huey.,"Huey, Lois Miner",1,BOOK
49990,Orfiki : roman / Aleksandr Ilichevskiĭ.,"Ilichevskiĭ, Aleksandr Viktorovich,",1,BOOK
49996,Red thread sisters / Carol Antoinette Peacock.,"Peacock, Carol Antoinette",1,BOOK
49892,The winemaker's daughter : a novel / Timothy Egan.,"Egan, Timothy",1,BOOK
49888,Riders to the sea ; The shadow of the glen ; The tinker's wedding ; The well of the saints ; The playboy of the western world ; Deirdre of the sorrows / J.M. Synge ; edited with an introduction and notes by Ann Saddlemyer.,"Synge, J. M. (John Millington), 1871-1909",1,BOOK
49801,In the mood for love / Beth Ciotta.,"Ciotta, Beth",1,BOOK
49872,Fata Morgana : a compendium of short fiction / Svetislav Basara ; translated by Randall A. Major.,"Basara, Svetislav, 1953-",1,BOOK
49803,Horses of the world / Élise Rousseau ; illustrated by Yann Le Bris ; translated by Teresa Lavender Fagan.,"Rousseau, Élise, 1977-",1,BOOK
